english_word,nepali_translation
curiosity,"जिज्ञासा"
custom,"चलन, रितिरिवाज"
cut,"काट्नु"
dam,"बाँध"
damage,"खति, नोक्सान"
dance,"नाच्नु"
danger,"छुरी"
dark,"अँध्यारो, अन्धकार / (Color: गाडा)"
date,"मिति, गते, तारिख"
daughter-in-law,"बुहारी"
day,"दिन"
day-laborer,"ज्यामी, खेताला"
dear,"प्रिय, प्यारो"
debt,"कर्जा, रिण"
debtor,"रिणी, आसामी"
decentralization,"बिकेन्द्रिकरण"
decide,"तोक्नु, निस्चय गर्नु, निर्णय गर्नु"
decision,"निस्चय, निर्णय"
declare,"घोषणा गर्नु"
decorate,"सजाउनु, भूषित गर्नु, अलंकृत गर्नु"
decrease,"घट्नु, घटाउनु"
deer,"मृग"
demand,"माग्नु, मगाउनु, माग"
democracy,"प्र्जातन्त्र, लोकतन्त्र"
department,"बिभाग"
departure,"प्र्स्थान, बिदा"
depute,"खटाउनु"
description,"बयान, बिबरण"
desire,"इच्छा, रहर, मनसाय"
destruction,"नाश, नष्ट"
details,"बिबरण"
development,"बिकास"
diamond,"हीरा"
diarrhea,"दिसा"
die,"मर्नु"
difference,"अन्तर, फरक, भिन्नता"
dig,"खन्नु"
direct,"संचालन गर्नु"
director,"निर्देशक, संचालक"
discipline,"अनुशासन, नियम पालम, संयम"
disease,"रोग"
dismiss,"खारेज गर्नु, पदच्युत गर्नु"
dispatch,"चलानी"
display,"प्र्दर्शिन गर्नु"
dispute,"अबबाद, मतभदे"
dissent,"बिबाद, मतभेद"
distribute,"बाडनु, बितरण गर्नु"
district,"जिल्ला"
divide,"भाग गर्नु"
division,"भाग, बिभजन"
doctrine,"सिधान्त"
domesticate,"घरमा पाल्नु"
donation,"चन्दा"
doubt,"शंका"
draft,"मसौदा"
drink,"पिउनु"
drive,"चलाउनु, हाक्नु"
dropped,"खस्नु"
drought,"अनाबृष्टि, खडेरी"
duty,"कर्तब्य / (Tax: महशुल, कर)"
ear,"कान"
earn,"कमाउनु"
east,"पुर्व"
eat,"खानु"
economics,"अर्थ शास्त्र"
education,"शिक्षा"
effect,"प्र्भाब, असर"
effort,"कोशिश, प्र्यत्न"
egg,"फुल"
elect,"चुन्नु, छान्नु"
election,"निर्वाचन, चुनाव"
elephant,"हात्ती"
emerge,"निस्किनु, प्र्कट हुनु"
emergency,"संङ्कटकालिन, आपतकालिन"
employee,"कर्मचारी, नियोजित"
employment,"जागिर, नियोजन"
energy,"तागत, शक्ति"
engineer,"इञिनियर"
enlarge,"बढाउनु"
enough,"पुग्यो, पर्याप्त, प्र्शस्त, काफी"
entertainment,"आमोद प्र्मोद, मनोरञन"
entitlement,"हक"
entry,"दर्ता"
equipment,"मालसमान, औजार"
establish,"कायम गर्नु, स्थापित गर्नु"
estimate,"अनमानु, इस्टमेट, अन्दाज"
evaluate,"मुल्याङ्कन"
evaluation,"मुल्याङ्कन"
evening,"साँझ"
exam,"जाँच, परिक्षा"
examine,"जाँच्नु, परिक्षण गर्नु"
example,"नमुना, उदाहर"
exceed,"नाग्नु, फडकनु"
excess,"बढी"
excuse,"माफ गर्नु, क्षमा गर्नु"
exhibit,"प्र्दर्शन गर्नु"
exhibition,"प्र्दर्शनी"
expense,"खर्च"
experience,"अनुभव, जानकारी, अनुभूती"
expert,"विशेषज्ञ"
explain,"बुझाउनु, बयान गर्नु, ब्याख्या गर्नु"
explanation,"बयान, ब्याख्या"
export,"निकासी गर्नु, निर्यात गर्नु"
eye,"आँखा, नेत्र, लोचन"
fact,"वास्तब, त्थय"
factory,"कारखाना"
fair,"प्र्दर्शनी, भेला, सन्तोषदायक / स्वच्छ, इमान्दार"
faith,"विश्बाश, निष्ठा"
fall,"पर्नु, झर्नु, खस्नु"
famine,"अनिकाल, भोकमारी"
farmer,"खेतिवाल, किसान"
father,"बा, बुबा, बुवा, पिता"
fatigue,"थकाई, थकावट"
fee,"महशुल, दस्तुर"
feel,"लग्नु, छुनु, स्पर्श गर्नु, जाच्नु, अनुभब गर्नु"
feel like,"मन लाग्नु"
feeling,"भावना, विचार"
fence,"बार"
fertilizer,"मल"
field,"खेत"
field trip,"भ्रमण"
fill,"भर्नु"
financier,"पुँजीपती, बित्त-ब्यवस्थापक"
find,"पाउनु"
firewood,"दाउरा"
fish,"माछा"
fish pond,"माछा पोखरी"
floor,"तला"
flour,"पिठो"
flower,"फूल"
follow,"अपनाउनु, मान्नु"
food,"खाना, खाने कुरा"
forbid,"मानाई गर्नु, निषेध गर्नु"
foreign country,"परदशे, बिदेश"
foreigner,"बिदेशी, परदेशी"
foreman,"नाईके"
forest,"वन, जङ्गल"
forget,"बिर्सनु"
fork,"काँटा"
form,"रूप, फारम, आकार, आकृति"
found,"रहनु, पाउनु"
friday,"शुक्रबार"
friend,"साथी, मित्र, संगि"
friendship,"मित्रता"
frog,"भ्यागुतो"
frost,"तुसारो"
fruit,"फलफुल"
frustration,"नैराश्य"
function,"चालु हुनु, कार्य सम्पादन गर्नु, चल्नु"
future,"भविश्य"
game,"खेल"
gap,"अन्तर, खालि"
gate,"ढोका"
gather,"जम्मा गर्नु, बटुल्नु"
gathering,"जमघटभेला"
gender,"लिङ्ग"
gentleman,"भलादमी मानिस"
geography,"भुगोल"
germinate,"पैदा हुनु, टुसाउनु, अंकुरण हुनु"
gesture,"संकेत"
get,"पाउनु"
gift,"दान, उपहार, भेटी, कोशेली"
give,"दिनु"
give up,"छोड्नु, त्याग्नु"
glass,"शिशा"
go,"जानु"
goal,"उदेश्य, लक्ष्य"
god,"भगवान, इश्वर"
god family,"कुलदेवता"
goddess,"देवी"
gold,"सुन"
goods,"माल, मालसामान, चिजबिज"
government,"सरकार"
grab,"समात्नु, पक्र्नु"
grain,"अनाज, अन्न"
grandfather,"हजुरबा, बाजे"
grandmother,"हजुरआमा, बज्यै"
grant,"अनुदान, वृत्ति"
grass,"घाँस"
graze,"चराउनु"
growth,"बृद्धि"
guard,"पाले"
guess,"अनुमान, अन्दाज"
guest,"पाहुना, पाउना"
guidance,"मार्ग निर्देश्न"
habit,"बानी"
hail,"असिना"
hair,"कपाल"
half,"साढे"
hand,"हात"
harm,"नोक्सान, खति"
head,"टाउको"
headman,"मुखीया"
headquarters,"सदर-मुकाम"
health,"स्वास्थ्य"
hear,"सुन्नु"
heat,"ताप"
heaven,"स्वर्ग"
height,"उचाई"
help,"मदत गर्नु, सगाउनु"
highway,"सडक (ठुलो)"
himalaya,"हिमाल"
hint,"सङ्केत"
hire,"भाडा"
historical,"ऐतिहासिक"
history,"इतिहास"
hold,"समात्नु"
holiday,"बिदा, छुट्टी"
home,"घर"
homeland,"स्वदेश"
honor,"इज्जत, सम्मान"
hope,"आशा"
hospital,"अस्पताल, चिकित्सालय / (Maternity: प्र्सुती गृह)"
hour,"घण्टा"
house,"घर"
housework,"घरको काम, गृहकार्य"
human being,"मानव-जाती"
hundred,"सय"
hunger,"भोक"
hurry,"हत्तपत्त, हतार"
idea,"राय, बिचार"
ignorance,"अज्ञान, अनजान"
importance,"महत्व"
improve,"सुधार्नु, उन्नती गर्नु, सपार्नु"
improvement,"सुधार, उन्न्ती, सपारिएको"
include,"समावेश गर्नु"
income,"आम्दानी, आय"
income tax,"आय कर"
increase,"बढनु"
indicate,"निर्देश गर्नु, देखाउनु, सङ्केत गर्नु"
individual,"व्यक्ति"
industry,"उद्धोग, परिश्रम"
influence,"प्र्भाब"
information,"सुचना"
injection,"सुइ"
ink,"मसी"
inspect,"परिदर्शन गर्नु, निरिक्षण गर्नु, जाँच गर्नु"
inspection,"परिदर्शन, निरिक्षण, जाँच, सर्बेक्षण"
inspector,"निरिक्षक, प्र्शिक्षक"
institution,"संस्था"
insult,"बेइज्जती, अपमान"
intention,"इरादा, मतलब, मनशाय, अभिप्राय"
interest,"ब्याज"
interim,"अन्तरिम"
interview,"अन्तरवार्ता"
introduction,"परिचय, भूमिका, प्र्स्तावन"
invite,"डाकनु, बोलाउनु, निम्ता गर्नु"
iron,"फलाम"
irrigate,"पानी लगाउनु, सिँचाई गर्नु"
irrigation,"सिँचाई"
irrigation ditch,"कूलो"
item,"दफा, रकम, एक -एक कलम"
jacket,"ज्याकेट"
jail,"झ्यालखाना"
job,"काम, जागिर, ब्यबसाय"
join,"जोड्नु"
journey,"यात्रा, भ्रमण, सफर"
judge,"न्यायाधिस"
judgment,"न्याय, इन्साफ, अदालतको फैसला"
jump,"उफ्र्नु"
justice,"न्याय, इन्साफ"
kerosene,"मट्टितेल"
kind,"किसिम, थोक, प्रकार"
kingdom,"अधिराज्य"
kitchen,"भान्सा, भान्चा"
knowledge,"ज्ञान"
labor,"श्रम"
lake,"ताल"
land,"जमीन, जग्गा"
land reform,"भूमी सुधार"
landless,"सुकुम्बासी"
landowner,"जमिन्दार"
language,"भाषा"
laugh,"हास्नु"
law,"ऐन, कानुन"
lawsuit,"मुद्दा"
layer,"तह"
lead,"सिसा, परिचालन"
leader,"नाईके, नेता, मार्ग-दर्शक"
leadership,"नेतृत्व"
leaf,"पात"
learn,"सिक्नु"
leather,"छाला"
leave,"छोड्नु, छुट्टि, बिदा"
lecture,"प्र्वचन, ब्याख्यान"
left over,"उब्रि्नु, बाकी"
legal code,"मुलुकी ऐन"
leisure,"फुर्सद, फुर्सत"
lesson,"पाठ, शिक्ष, उपदेश"
letter,"चिट्ठी, पत्र् / (Alphabet: अक्षर)"
level,"स्तर, श्रेणी"
library,"पुस्तकालय"
license,"अनुमति, अनुमतिपत्र्, लाईसेन्स"
life,"जीवन"
lift,"उचाल्नु, उठाउनु"
light,"उज्यालो / (Color: फिक्का)"
like,"मन पर्नु / जस्तो, जस्तै"
lime,"कागती"
link,"सम्बन्ध्, जोर्नी"
liquor,"रकसी"
list,"सूची, सूचिपत्र्, तपसील"
listen,"सुन्नु"
literature,"साहित्य"
living standard,"हैसियत, स्तर"
load,"भारी"
look,"हेर्नु"
loom,"तान्"
loss,"खती, नोक्सान"
love,"माया गर्नु"
love-talk,"प्रेम-वार्ता"
machine,"कल, यन्त्र्"
magazine,"पत्रिका"
magician,"जादुगर, चटकी"
maintenance,"पालन पोषण, जिविका, प्र्तिपालन, जीविका"
majority,"अधिकांश, बहुमत, बहुसंख्या"
make,"बनाउनु"
malaria,"औलजरो, औलो"
male,"भाले / (Human: लोग्ने मान्छे)"
management,"बन्दोबस्त, व्यवस्था"
manner,"ढंग, शिष्टाचार, चलन, चालचलन"
manure,"मल"
map,"नक्शा"
mars,"मङ्गल"
math,"हिसाब"
matter,"पदार्थ"
meaning,"मतलब, माने"
means,"उपाय"
measurement,"नाप"
meat,"मासु"
mechanic,"मिस्त्री, कालीगढ"
medicine,"औषधि, ओखती"
meet,"भेट्नु"
meeting,"बैठक, जमघाट, गोष्ठी, भेट"
member,"सदस्य"
membership,"सदस्यता"
memorize,"याद गर्नु, सम्झनु"
mentality,"स्वभाब, मनोबृत्ति, मानसिक शक्त्ति"
method,"उपाय, ढंङ्ग, तरिका, प्र्णाली"
middle,"माझ, बीच"
military,"सैनिक, सेना"
milk,"दूध"
millionaire,"लखपती"
mind,"मन, दिल, चित्त"
minister,"मन्त्री"
ministry,"मन्त्रालय"
miser,"कंजुस, कञ्जुस, चुय्याँ, कृपण, लोभी"
mix,"मिसाउनु"
model,"आदर्श, नमुना"
moment,"छिन, क्षण"
monday,"सोमबार"
monkey,"बाँदर"
monsoon,"बर्सात, बर्षा"
month,"महिना"
morning,"बिहान"
mother,"आमा, मुमा"
mountain,"पाहाड"
mouth,"मुख"
move,"चल्नु"
mr,"श्रिमान, माहासाय"
mrs,"श्रिमति"
multiplication,"गुणन"
mustard,"तोरी"
nail,"कीला"
name,"नाम"
nature,"प्रकृती / (Character: स्वभाब)"
need,"चाहिनु, आवश्यक हुनु"
needed,"चाहिनु, आवश्यक हुनु"
news,"खबर, समाचार"
newspaper,"अखबार, पत्रपत्रिका"
night,"राती"
noise,"हल्ला"
north,"उत्तर"
nose,"नाक"
notice,"सुचना"
notice board,"सुचना पाटी"
novel,"उपन्यास"
obey,"मान्नु"
occupation,"कामकाज, वृत्ति, पेशा, इलम"
offering,"प्र्साद, बलि, भेटी, नैबेध"
office,"कार्यलय"
officer,"अधिकारी, कर्मचारी"
open,"खोलनु"
opinion,"बुचार, राय"
opponent,"बुरोधी"
opportunity,"मौका"
opposition,"प्र्तियोग, बिरोध, बिपक्षता, बैरभाब"
orange,"सुन्तला"
order,"हुकुम, आज्ञा, आदेश"
ordinance,"अध्यादेश, रिती, नियम, बिशेष आज्ञा"
organization,"संस्था, संगठन"
organizer,"आयोजक, ब्यबस्थापक"
outside,"बाहिर"
overcome,"विजयी हुनु, दनन गर्नु"
pack,"पोको, भारी, कुम्लो, बट्टा"
paper,"कागत, कागज"
pardon,"माफ गर्नु"
parents,"बा-आमा"
part,"भाग, खण्ड, हिस्सा"
partnership,"साझेदार, हिस्सेदार, महभागिता"
party,"भोज / (Political: दल, पक्ष)"
pay,"तिर्नु, तलब, ज्याला, पारिश्रामिक"
peace,"शान्ति"
peace corps,"शान्ति सेना"
peasant,"किसान, खेतिवाल"
pen,"कलम"
people,"जनताह्रु, लोक, जन, प्र्जा"
pepper,"खुर्सानी"
percent,"प्र्तिशत"
permission,"अनुमती"
person,"मान्छे, मानिस"
persuade,"मनाउनु, विश्वास गराउनु, भ्रम हटाइनु"
petition,"दरखास्त, अर्जी, बिन्तिपत्र"
physics,"भौतिक शास्त्र्"
picture,"नक्शा, तस्वीर"
piece,"भाग, हिस्सा, टुक्रा, प्रवन्ध रचना"
pineapple,"भुईकटहर"
place,"स्थान, ठाउँ"
plan,"उपाय, अभिप्राय, योजना"
planet,"ग्र्ह, नक्षत्र"
plant,"बिरुवा, बोट"
play,"खेल्नु, बजाउनु"
playing field,"मैदान"
please,"कृपया"
plenty,"प्र्शस्त"
plough,"जोत्नु"
pocket,"बगली, खल्ती"
policy,"नीति"
political science,"राजनीति शास्त्र्"
politics,"राजनीति"
population,"जनसंख्या"
position,"स्थान, पद, अबस्था"
post office,"हुलाक"
postman,"हुलाकी"
potato,"आलु"
power,"सामर्थ्य, शक्ति, क्षम्ता, बल, तेज"
practice,"अभ्यास, प्र्था, ब्यवहार"
practise,"मान्नु, अभ्यास गर्नु"
present,"प्र्स्तुत गर्नु, पेश गर्नु, हाजिर हुनु"
president,"राष्ट्र्पति"
prestige,"इज्जत, शान, प्र्तिष्ठा"
price,"मोल, मलयू, भाउ"
pride,"धमण्ड, गर्ब, अहंकार"
prime minister,"प्र्धान-मन्त्री"
principle,"नियम, सूत्र्, सिधान्त"
priority,"प्राथमिकता"
problem,"समस्या"
procedure,"संचालन गर्ने तरिका, व्याबहार, कार्य-बिधि"
profession,"बृत्ती, पेशा"
profit,"मुनाफा, नाफा, लाभ"
program,"कार्यक्रम"
progress,"प्र्गती, उन्नती"
prohibit,"मनाई, निषेध, प्र्तिबन्ध"
prohibition,"मनाही, निषेध्, प्रतिबन्ध"
project,"योजना"
promise,"प्र्तिज्ञा गर्नु, कबूल गर्नु"
promotion,"बढुवा, उन्नती, श्रेष्ठ पद पाउनु"
proof,"प्र्माण"
property,"मालसामान, सम्प्ती"
proposal,"प्र्स्ताब"
protect,"सुरक्षा गर्नु, संरक्षित राख्नु, रक्षा गर्नु"
protection,"संरक्षिता, रक्षा"
protest,"प्र्तिवद, बिरोध"
public,"सामान्यजन, प्र्ज्ञा, जनता"
public health,"जनव्वास्थ्य"
public service,"लोकसेवा"
publicity,"प्र्चार, प्र्सार"
pull,"तान्नु, उखेल्नु"
punishment,"सजाय, दण्ड"
pupil,"छात्र्"
purchase,"खरीद"
purpose,"मक्सद, मनसाय, आसय, अभिप्राय"
put,"राख्नु / लगाउनु"
qualification,"योेयता"
quality,"गुण"
quarter,"सवा"
quarter to,"पौने"
question,"प्र्श्न"
questionnaire,"प्र्श्नवली"
quiet,"चुप लाग्नु"
quit,"छोड्नु"
quota,"कोटा, दरबन्दी"
radio,"रेडियो"
rain,"पानी पर्नु"
raincoat,"बर्षदी"
raksi,"रक्सी"
rank,"पद, मान"
rate,"दर, गति, भाउ"
ratification,"समर्थन, अनुमोदन"
reach,"पुग्नु, बिस्तृत हुनु"
reaction,"प्र्तिकृया"
read,"पढ्नु"
real,"खास, वस्तबिक"
reality,"सत्यता, वास्तबिकता"
realization,"महसूस"
realize,"अनुबव गर्नु, महसूस गर्नु"
receipt,"रसिद"
receive,"पाउनु"
recognize,"चिन्नु"
recommendation,"सिफारिस"
reconcile,"मिलाउनु, मेलमिलाप गर्नु, पुनर्मेल गर्नु"
reform,"सुधार / सुधार्नु"
region,"इलाका, क्षेत्र"
relation,"नाता, सम्बन्ध"
relationship,"सम्बन्ध"
religion,"धर्म"
remain,"रहनु"
remember,"याद गर्नु, सम्झनु"
remind,"सम्झाउनु"
remove,"हटाउनु"
rent,"महशुल, भाडा"
repair,"मरमत गर्नु"
replace,"बदली गर्नु"
replacement,"बदली"
reply,"जवाफ, उत्तर"
representative,"प्र्तिनिधी"
request,"बिन्ति, अनुरोध, निवेदन"
research,"अनुसन्धान"
resources,"साधन, उपाय"
respect,"मान्नु, आदर गर्नु, सत्कार गर्नु, मान, अभिबादन, सम्मान, इज्जत"
responsibility,"जिम्मा, जिम्मेवरी, दायित्व"
rest,"आराम गर्नु"
restore,"जस्ताको त्यस्तो पार्नु, पुनःस्थान गर्नु"
result,"परिणाम, नतिजा, फल"
return,"फिर्ता, फर्कनु, फर्किनु"
review,"फेरि हेर्नु, पुनर्बिचार गर्नु"
revise,"दोहोराउनु, आबृत्ति गर्नु"
revision,"संशोधन, दोह्र्याउने काम"
rhinoceros,"गैंडा"
right,"अधिकार, हक"
ring,"बज्नु, बजाउनु"
ripen,"पाक्नु"
river,"नदी"
road,"सडक, बाटो, मागि"
rock,"ढुङ्गा"
roof,"छानु, छाना"
room,"कोठा"
routine,"कार्यक्र्म, रुटिन, दिनचर्या, नित्यकर्मको ब्यब्स्था"
rudiment,"मूलसुत्र, सुत्रपात, आरम्भ, मूल तत्व"
rule,"नियम"
run,"कुदनु, दगुर्नु, बग्नु, भाग्नु / संचालन गर्नु, चलाउनु"
rupee,"रुपिया"
sack,"बोरा"
sadness,"दु:ख"
salary,"तलब"
sale,"बिक्रि"
salt,"नुन"
sample,"नमनाु"
satisfaction,"सन्तोष, सन्तोक"
saturday,"शनिवार"
saturn,"शनि"
save,"बचाउनु, संचय गर्नु, जोगाउनु"
say,"भन्नु"
science,"बिज्ञान"
scissors,"कैंची"
scold,"गालि गर्नु, हपार्नु"
search,"खोज्नु"
secret,"गुप्ती, गुप्त, गोप्य"
secretary,"सचिब"
section,"फांट"
see,"देख्नु"
seed,"बिउ"
seedling,"बिरुवा"
selection,"छानबीन, रोजाई"
selfishness,"स्वार्थ बुद्धी, स्वार्थिपन"
self respect,"आत्मबिशवास"
sell,"बेच्नु"
send back,"फर्काउनु"
service,"नोकरी, सेवा"
settle,"बसोबास गर्नु"
sewing,"सिलाई"
shirt,"कमिज"
shoe,"जुत्ता"
shop,"पसल"
show,"देखाउनु, प्र्दर्शन"
signature,"सही"
silver,"चाँदी"
sing,"गाउनु"
sir,"साहेब / (Business letter: महोदय)"
sitar,"सितार"
situation,"स्थिति, अवस्था, हालत"
skill,"थसप, सिप, दक्षता, सिपालुपन, चातुर्य"
skin,"छाला"
sleep,"सुत्नु"
slip,"चिप्लिनु"
smallpox,"बिफर"
snack,"खाजा"
snatch,"खोस्नु"
snow,"हिउँ"
society,"समाज"
sociology,"समाज-शास्त्र्"
socks,"मोजा"
soil,"माटो"
soldier,"सैनिक"
sorrow,"करुण, दुःखद"
sound,"आवाज"
source,"श्रोत"
south,"दिघण"
sow,"छर्नु"
sparkle,"जगमग, झल्कनु, टल्कनु"
speak,"बोल्नु"
speak with,"कुरा गर्नु"
specially,"विशेषगरेर"
speech,"प्र्वचन, भाषण"
speed,"गति"
spend,"खर्च गर्नु"
spike,"कीला, तिखो काँडा"
spoon,"चम्चा"
sport,"खेलकुद"
staff,"कर्मचारी, कार्यकर्ता"
stake,"काठको किला"
stamp,"टिकट / (Office seal: छाप)"
start,"थाल्नु, शुरु गर्नु"
state,"मुलूक, राज्य"
statistics,"तथ्याङ्क"
statue,"मुर्ति"
stipend,"भत्ता"
stir,"चलाउनु"
stomach,"पेट"
stone,"ढुङ्गा"
store,"पसल"
story,"कथा"
strength,"बल, ताकत, सामर्थ्य"
student,"बिध्यार्थी"
hostel,"छात्र्बास"
